User_ID,Month,Year,total_kwh,avg_kwh,total_cost,avg_cost,avg_wallet_balance,avg_session_duration,avg_cost_efficiency,peak_hour_ratio,City,Vehicle_Type,Subscription_Type,Payment_Mode,Charger_Type
U00001,12,2024,6.12,6.12,72.46,72.46,336.08,60,11.83986928,0,Hyderabad,2W,Basic,UPI,Superfast
U00002,6,2025,39.2,39.2,236.38,236.38,778.06,60,6.030102041,0,Ahmedabad,4W,Basic,Credit Card,Slow
U00003,5,2025,27.11,27.11,184.35,184.35,1593.61,60,6.800073774,0,Delhi,4W,Premium,UPI,Slow
U00004,2,2025,9.41,9.41,57.59,57.59,433.03,60,6.120085016,0,Chennai,4W,Basic,Credit Card,Slow
U00005,1,2025,38.95,38.95,309.26,309.26,1788.99,60,7.939922978,0,Delhi,2W,Pay-as-you-go,Credit Card,Superfast
U00006,5,2024,38.45,38.45,429.1,429.1,1182.78,60,11.15994798,0,Hyderabad,4W,Premium,UPI,Superfast
U00007,1,2025,28.58,28.58,238.64,238.64,1301.78,60,8.349895031,0,Ahmedabad,2W,Premium,UPI,Slow
U00008,5,2025,41.44,41.44,324.06,324.06,808.78,60,7.819980695,0,Delhi,4W,Basic,UPI,Fast
U00009,5,2025,7.95,7.95,88.01,88.01,1384.85,60,11.07044025,0,Chennai,2W,Premium,Wallet,Fast
U00010,12,2025,28.64,28.64,333.66,333.66,276.2,60,11.65013966,0,Bangalore,3W,Pay-as-you-go,Debit Card,Superfast
U00011,2,2024,25.73,25.73,220.25,220.25,414.43,60,8.560046638,0,Bangalore,2W,Premium,UPI,Slow
U00012,9,2025,22.54,22.54,216.61,216.61,1946.01,60,9.610026619,0,Pune,2W,Basic,Credit Card,Slow
U00013,5,2024,11.51,11.51,124.31,124.31,1150.27,60,10.80017376,0,Ahmedabad,2W,Pay-as-you-go,Wallet,Superfast
U00014,3,2024,22.89,22.89,216.54,216.54,708.68,60,9.460026212,0,Kolkata,4W,Basic,Debit Card,Slow
U00015,2,2025,9.57,9.57,59.72,59.72,1082.35,60,6.240334378,0,Kolkata,2W,Pay-as-you-go,Credit Card,Superfast
U00016,7,2024,23.51,23.51,215.59,215.59,276.35,60,9.170140366,0,Delhi,2W,Basic,UPI,Fast
U00017,8,2025,42.91,42.91,284.06,284.06,764.73,60,6.619902121,0,Bangalore,3W,Pay-as-you-go,Wallet,Superfast
U00018,11,2024,45.71,45.71,494.13,494.13,1951.58,60,10.8101072,0,Hyderabad,4W,Pay-as-you-go,Wallet,Slow
U00019,8,2024,40.51,40.51,330.56,330.56,1501.53,60,8.159960504,1,Mumbai,4W,Premium,Credit Card,Fast
U00020,1,2025,41.33,41.33,333.53,333.53,124.57,60,8.069924994,1,Chennai,3W,Pay-as-you-go,Credit Card,Superfast
